id,cond,trial#,realPattern,userAnswer,correct,c1,c2,playstamp,playendstamp,enterstamp
id,cond,trial#,realPattern,userAnswer,correct,c1,c2,playstamp,playendstamp,enterstamp
,Distal,1,32,42,0,0,1,1593,2599,3807
,Distal,2,31,31,1,1,1,4603,5606,6590
,Distal,3,14,12,0,1,0,7376,8379,9575
,Distal,4,24,24,1,1,1,10258,11260,12535
id,cond,trial#,realPattern,userAnswer,correct,c1,c2,playstamp,playendstamp,enterstamp
id,cond,trial#,realPattern,userAnswer,correct,c1,c2,playstamp,playendstamp,enterstamp
,Distal,1,41,31,0,0,1,2463,3468,4737
,Distal,2,14,14,1,1,1,5661,6663,7929
,Distal,3,32,32,1,1,1,8576,9579,10716
,Distal,4,43,43,1,1,1,11328,12330,14086
,Distal,5,42,42,1,1,1,15316,16318,17555
,Distal,6,21,21,1,1,1,18865,19867,21347
id,cond,trial#,realPattern,userAnswer,correct,c1,c2,playstamp,playendstamp,enterstamp
,Distal,1,43,43,1,1,1,907,1909,3934
,Distal,2,32,32,1,1,1,5151,6153,8485
,Distal,3,21,21,1,1,1,9260,10262,12001
,Distal,4,23,23,1,1,1,12954,13956,15742
,Distal,5,42,42,1,1,1,18300,19302,22756
,Distal,6,14,14,1,1,1,23583,24585,26908
id,cond,trial#,realPattern,userAnswer,correct,c1,c2,playstamp,playendstamp,enterstamp
,Distal,1,21,21,1,1,1,804,1806,3278
,Distal,2,12,12,1,1,1,3770,4773,6164
,Distal,3,31,31,1,1,1,6683,7685,9281
id,cond,trial#,realPattern,userAnswer,correct,c1,c2,playstamp,playendstamp,enterstamp
,Distal,1,34,13,0,0,0,883,1888,2364
id,cond,trial#,realPattern,userAnswer,correct,c1,c2,playstamp,playendstamp,enterstamp
id,cond,trial#,realPattern,userAnswer,correct,c1,c2,playstamp,playendstamp,enterstamp
,Distal,1,32,13,0,0,0,1826,2830,6784
id,cond,trial#,realPattern,userAnswer,correct,c1,c2,playstamp,playendstamp,enterstamp
,Distal,1,21,21,1,1,1,1501,2506,3494
,Distal,2,31,31,1,1,1,4224,5227,6096
,Distal,3,41,21,0,0,1,7233,8235,9762
,Distal,4,24,12,0,0,0,10336,11338,12451
id,cond,trial#,realPattern,userAnswer,correct,c1,c2,playstamp,playendstamp,enterstamp
,Distal,1,21,21,1,1,1,1289,1795,3244
,Distal,2,13,14,0,1,0,3810,4313,6036
,Distal,3,23,23,1,1,1,6512,7014,8219
